x,y,z,count
-5.08411,-480.253,-260.708,84
-221.225,158.901,-485.71,82
200.209,394.308,114.04,112
-207.748,-84.8352,-3.52064,75
-155.129,-17.09,-207.02,68
-27.4261,-549.13,75.9339,81
-137.172,-593.032,59.4911,140
359.141,-327.787,171.975,98
57.0498,52.7917,-116.329,87
-84.974,84.8208,-238.572,100
142.852,365.507,-313.657,88
-116.83,514.229,198.69,71
94.5264,150.32,465.685,93
-328.69,-97.4223,-174.509,95
-69.1168,110.113,-234.858,93
-192.788,493.614,226.626,84
192.463,-234.513,390.554,96
459.499,32.3647,-384.712,72
52.2677,337.886,-263.699,107
-146.821,-352.808,349.992,96
-421.706,-367.891,186.301,84
-220.889,-32.126,139.398,77
110.563,161.523,-284.323,96
164.681,393.851,116.134,101
-273.52,-426.576,10.2015,107
-381.389,269.119,-211.189,109
111.973,-103.855,-575.888,94
-317.456,-374.371,-133.788,94
254.71,-119.382,-405.7,81
187.72,416.551,-359.362,97
-201.715,102.086,-86.8628,106
-41.256,-271.476,200.163,80
188.398,-364.166,-100.231,104
-152.598,-341.443,-255.49,89
3.24406,-203.245,388.558,97
-51.7813,44.9384,-1.07503,85
-226.371,134.993,39.4874,90
226.864,-511.42,-139.398,99
-249.782,-236.282,-488.749,88
22.3291,-82.9957,223.783,94
-57.8976,-43.299,-171.807,100
-184.55,-44.0624,418.79,90
-37.9658,483.949,249.941,81
-15.8714,-263.134,189.638,84
408.409,84.5274,-176.182,104
65.3457,-322.241,-407.572,92
-376.301,116.51,304.956,87
83.4655,351.015,-441.528,88
-536.02,185.236,-211.444,99
324.532,-80.9398,171.14,92
-203.656,-515.782,192.45,86
-115.129,8.15863,-339.048,89
1.72966,-438.277,413.559,75
314.945,299.987,-306.429,109
-22.1866,551.253,148.359,87
255.953,17.879,-514.229,71
-29.8522,596.468,-37.8414,82
-22.6519,-432.055,27.4406,97
175.965,-276.034,526.065,76
-275.806,535.268,33.9418,152
-118.377,139.884,254.069,80
29.0359,-364.81,79.7018,104
120.939,-212.054,-31.9643,83
362.076,488.835,66.8062,80
462.287,-33.0307,-386.164,77
-64.5186,-366.409,-252.574,77
-352.957,299.197,52.4948,93
-158.71,497.642,-104.143,109
112.724,326.236,-487.841,118
99.7372,344.248,-464.284,125
-476.564,319.164,101.995,64
-99.9986,171.295,-555.517,134
-235.502,-189.51,-91.2569,109
92.5934,574.974,-111.434,96
281.041,-39.8564,286.642,87
-206.261,159.04,339.504,102
27.1898,-14.6008,-610.542,83
466.218,32.5972,-303.385,122
481.694,-236.984,226.748,83
461.796,373.543,-10.305,68
460.476,-252.107,-320.679,87
-96.6481,-360.642,380.107,89
189.835,-326.443,-96.9133,93
59.8328,318.42,425.739,102
-27.805,-74.4567,-89.1375,104
-407.79,259.933,331.655,128
184.985,-380.543,252.166,79
-106.033,-5.3465,220.622,90
-120.632,181.154,569.449,102
99.8036,-437.411,-200.2,81
134.728,-4.77932,-142.763,88
130.103,476.596,35.6699,115
113.631,-70.8286,-31.4341,110
-290.674,-138.069,132.342,95
-199.225,109.757,-146.766,91
433.233,-65.2389,-314.876,101
-370.171,122.178,54.7605,77
-412.235,-96.9447,17.0081,86
-41.6221,97.1164,38.1662,95
-217.349,56.5007,-88.9598,84
594.747,88.3714,-5.93055,87
-59.5782,409.219,182.853,104
-500.708,-26.7457,-66.6075,88
-193.98,64.5525,340.9,93
371.667,83.2375,315.475,94
147.456,-187.142,350.714,107
-174.27,360.559,408.094,112
128.362,299.549,169.871,94
7.26211,-478.322,133.487,95
85.3524,-11.3329,-164.777,116
-68.8438,485.142,80.0351,91
171.45,218.098,173.055,100
-123.862,246.721,61.6185,82
174.884,298.34,-141.363,106
-273.757,442.261,4.36182,103
-94.9355,-244.201,-558.751,142
1.42773,-258.533,530.401,199
4.03371,-48.5803,-331.84,88
356.546,262.245,-7.91724,103
-10.5381,-404.813,22.6484,82
141.658,-407.148,-65.679,87
-109.406,299.044,-465.769,112
-289.077,455.701,141.098,76
583.425,202.293,-6.18616,49
-272.709,272.947,54.6011,83
-126.474,-121.511,388.456,112
162.457,458.604,-121.311,97
-41.89,-129.942,531.056,125
-40.9583,-398.898,-192.245,94
91.4606,45.3014,-344.285,103
-38.599,149.788,352.072,87
184.887,-372.182,-368.337,96
-44.83,43.0133,15.8786,94
248.386,152.225,-358.076,95
49.8045,313.699,389.291,74
275.508,123.099,533.474,60
141.768,169.228,-473.293,81
-449.362,-63.26,-210.978,98
-12.6103,101.551,487.431,101
-98.9478,402.498,-19.6481,98
-433.186,201.764,-293.675,107
468.458,-130.324,-339.04,92
-41.4986,138.053,116.952,96
-546.531,108.538,-176.593,136
587.167,-89.6617,-64.015,84
243.988,-325.167,321.672,125
362.262,133.68,321.792,89
352.747,85.5313,-59.3955,93
-59.6618,-471.858,264.667,90
156.789,498.142,89.5492,113
-77.9416,-228.086,306.705,100
-164.941,-336.643,-149.132,88
-78.4691,388.529,-279.572,81
-120.061,447.216,-145.242,96
-75.4328,77.5987,-83.3638,76
457.954,-293.131,226.131,88
-174.162,-99.2331,321.39,83
-188.165,-42.8364,-287.41,64
-39.4688,-188.316,339.139,81
199.231,433.128,-233.98,90
485.217,376.183,59.6684,30
-195.855,-201.823,335.005,83
71.2667,259.491,-412.477,96
-413.145,325.2,-163.693,71
-443.737,119.019,-403.695,77
-206.536,289.947,-268.485,112
77.158,254.638,263.504,100
191.744,75.3396,375.805,97
-385.144,243.549,9.41076,82
92.5416,-315.453,35.3304,84
-309.703,-110.181,-444.181,74
-79.961,298.373,-114.706,108
379.513,296.92,341.353,178
-84.9747,-142.384,300.215,89
-385.553,199.166,-292.084,101
95.1041,-378.831,-476.083,66
-97.09,74.6789,-560.492,86
-32.2419,293.098,-406.128,112
258.137,149.83,311.613,90
45.4281,-316.047,-257.422,100
5.95503,380.501,165.787,94
471.62,-40.5319,223.51,129
403.762,26.6937,-387.389,74
146.641,253.41,-299.915,101
-38.8879,65.2228,574.182,114
605.43,19.2906,46.879,74
194.161,512.412,67.8022,124
329.063,-397.885,-246.642,108
-455.509,-217.915,284.821,89
