x,y,z,count
-5.08411,-480.253,-260.708,51
322.571,-402.788,187.073,53
-139.086,-354.822,196.032,52
-235.024,233.012,145.342,63
212.131,505.898,177.405,69
212.354,256.617,237.188,55
-151.17,41.631,-326.581,66
164.633,381.418,-157.719,53
-91.4027,282.866,-36.828,52
59.6389,-326.589,-301.681,45
151.44,-462.802,-189.512,54
400.104,-337.499,-15.5097,65
-421.773,340.948,-203.044,41
-102.072,59.1714,155.341,59
118.789,-541.724,162.448,51
154.688,396.273,-142.446,61
326.619,430.729,-114.408,90
-121.49,-423.79,-12.1463,58
124.26,-243.864,-450.968,66
-8.81349,-254.175,89.7465,62
151.975,568.159,-127.703,46
178.079,392.442,-382.776,53
7.33825,-267.507,-237.151,63
-9.21725,-399.639,456.016,115
42.8429,261.387,-117.666,54
11.1213,-159.456,-555.054,64
-335.418,-59.9379,145.199,66
267.769,177.001,-429.236,43
-213.292,-367.75,-248.073,52
44.5438,-357.195,-190.782,59
131.437,448.096,71.0065,62
-39.4134,331.275,-367.477,57
-11.9499,-302.923,-290.27,61
388.323,248.062,99.366,52
-122.43,460.712,-180.735,55
392.859,-198.545,26.013,56
-56.9797,61.8342,489.149,61
159.681,48.3368,-96.3398,74
190.054,303.21,-448.994,52
0.515832,255.245,-32.1198,62
-19.0221,488.555,-247.346,53
137.853,330.081,226.166,48
-299.093,-72.689,-251.692,53
142.609,-225.598,513.222,68
-63.8858,-501.761,-24.1139,59
-315.677,21.2894,-518.409,37
-248.469,232.937,236.753,48
-210.142,-524.255,159.972,74
157.179,44.209,19.6103,43
-333.062,-328.468,-259.343,33
168.281,-0.939648,-548.533,41
-143.184,-236.568,388.347,51
184.724,439.026,50.1194,59
-555.479,15.0574,-201.436,94
143.187,74.0398,37.1212,57
454.157,-360.375,-211.187,22
-154.399,-458.672,184.388,46
188.181,-94.2319,454.226,47
-444.478,292.574,-237.238,43
-410.548,239.989,-3.85454,58
351.898,-493.867,111.596,109
-165.73,-222.593,-19.8054,56
-307.37,237.983,-24.5293,53
404.977,-460.589,-64.3767,96
27.9579,-37.1858,216.526,56
-507.53,9.70417,-345.745,162
244.247,150.791,-81.0114,52
-100.403,-135.634,-270.459,58
27.9913,383.14,84.3605,50
466.359,-289.463,-163.606,39
-316.238,156.001,209.632,62
99.3902,396.156,-357.521,39
-498.719,290.327,-86.2601,40
39.5914,363.777,228.521,52
194.04,-364.171,-31.05,58
424.153,-188.328,-381.075,35
-585.505,-52.8906,178.089,66
-403.324,-423.716,-36.8246,82
411.811,-305.967,-248.713,34
-222.005,-275.908,-411.273,44
478.658,-188.24,133.604,52
-198.054,288.276,437.619,48
277.892,37.331,494.011,46
164.651,-507.135,-245.475,35
-47.2223,-56.7854,508.878,66
148.513,480.834,228.329,44
-337.715,42.3418,53.9034,48
224.848,-184.984,348.357,44
-80.7448,-134.098,393.408,65
353.103,138.453,-176.886,61
382.426,313.194,226.809,43
-220.963,360.515,-317.29,47
-244.676,-483.215,-100.242,91
181.9,-276.224,-6.53599,53
-46.9807,73.5694,174.073,47
368.979,430.793,-44.6026,80
-395.318,205.37,333.537,64
348.435,-313.47,400.677,17
119.646,380.403,-369.893,45
30.4217,-222.945,103.094,69
295.166,398.451,-76.8689,72
131.54,-337.34,-114.664,48
98.2712,592.91,110.345,55
83.4829,467.25,-122.962,47
75.4868,-192.373,-61.5127,73
388.225,-87.2643,-11.4024,42
-37.524,234.259,-520.182,117
-526.681,285.126,120.214,30
-144.281,232.637,-1.53341,50
177.584,-225.58,-397.969,69
9.44153,-515.641,-34.4332,38
-28.0133,491.553,317.391,55
101.147,219.353,-199.612,61
352.716,-153.546,449.588,45
-14.6351,-565.266,168.256,42
-387.635,51.2864,-442.686,65
295.402,-511.556,89.6609,110
135.68,-44.3855,312.85,65
-358.232,-314.322,108.678,49
189.748,-55.6422,-165.62,53
190.212,218.253,386.518,58
-255.27,169.437,68.4821,47
231.391,335.279,319.905,35
-466.921,-63.9582,-399.143,99
307.507,-209.696,450.912,24
-392.424,268.658,-292.286,52
55.9942,-30.065,484.542,57
329.156,324.423,-35.2825,67
-381.919,268.572,-272.684,48
-509.162,24.0188,8.54019,46
467.923,-329.876,-233.494,28
19.7121,-563.292,-108.639,56
-455.745,-133.834,-137.781,47
-386.597,273.238,237.895,54
196.292,-30.1973,-400.337,45
-277.629,-262.626,-223.93,47
-199.442,439.111,-259.45,54
471.787,110.329,191.253,62
224.384,-97.9271,432.744,55
-422.902,196.72,361.441,62
186.487,216.144,411.491,47
431.991,110.226,-229.774,68
-439.518,-220.88,329.05,40
288.206,-416.085,-355.839,25
-193.341,410.504,-235.086,49
6.56166,-332.363,-96.8262,54
-218.296,61.8593,-151.026,54
-362.301,-84.2766,-389.242,60
414.055,-295.175,125.421,62
466.989,208.922,202.858,37
-457.914,-109.36,331.445,69
-31.0646,-405.869,362.439,66
