x,y,z,count
-5.08411,-480.253,-260.708,110
-475.37,-63.6668,-61.6042,74
443.943,47.3221,-2.1397,88
-350.978,-389.292,-212.067,81
388.66,380.645,122.884,106
82.2355,416.87,-275.388,104
-220.027,189.924,-307.445,84
58.8555,37.2513,-369.836,80
-269.111,-305.013,443.24,95
-363.343,-61.0549,290.912,113
124.511,303.228,-491.122,112
260.692,-452.001,92.8758,114
63.1843,-31.2914,-160.317,88
72.7262,241.972,-153.447,104
-90.0116,-2.35683,-44.563,114
442.277,178.333,-202.543,103
-195.222,-444.605,153.976,94
313.89,-262.633,-2.35396,74
376.165,315.8,352.137,53
180.529,-139.496,-280.577,101
-127.715,444.241,-128.379,103
41.5782,-430.519,162.641,89
-113.826,-235.201,-8.35482,105
277.363,493.575,-29.6632,145
-5.88044,-6.23696,-598.917,66
-541.092,31.8437,252.301,94
-30.3537,-45.5152,-337.321,85
303.681,392.866,-86.6734,135
-195.343,219.346,-492.936,102
-43.7553,-412.846,35.0588,97
-502.173,-73.7942,-167.712,115
-200.621,290.207,-29.026,118
118.505,441.982,-336.285,74
212.61,349.159,-122.024,82
-106.076,255.732,443.219,145
186.134,354.533,32.4202,90
10.6353,306.245,182.129,91
-252.394,353.565,407.229,90
-448.286,-91.5093,-309.069,117
503.025,-312.638,-165.244,39
153.413,-279.87,-120.114,89
-65.5185,503.949,-156.928,100
24.5492,-237.524,-275.322,112
-65.6017,-507.914,-121.103,85
205.545,-147.93,-304.781,101
96.1784,-17.2701,140.327,105
-166.13,305.496,311.189,91
-142.942,-178.75,-49.1688,98
119.75,-286.714,279.627,105
-23.3519,-253.408,-350.649,122
256.003,156.112,349.505,77
379.323,172.449,-267.22,81
142.226,229.13,251.395,128
-102.31,-19.9204,567.195,78
195.386,-258.297,-491.851,83
-468.251,-207.092,-348.614,39
63.7835,-33.7646,325.815,123
190.094,-523.472,-122.866,106
-366.283,-16.7018,150.622,129
-317.597,165.555,-169.515,102
-361.975,473.065,-165.066,90
370.928,126.498,-328.196,96
-122.575,564.184,-80.6963,107
97.4483,-201.464,171.747,113
295.472,276.459,-206.065,96
490.789,-32.6386,-73.6283,75
448.14,-287.794,-243.697,96
-309.661,-339.622,-273.124,75
246.278,204.702,121.384,101
-243.891,-474.95,-309.95,41
-401.395,-141.757,-204.671,95
9.88395,518.676,79.6632,78
-220.041,-452.219,290.58,84
30.2661,-393.22,-22.342,95
12.3122,369.441,431.962,133
-415.194,-296.229,-290.826,80
373.652,-207.736,66.636,85
300.06,-398.479,-308.164,57
-378.017,25.5167,-162.331,94
-200.739,204.621,-314.792,80
-141.437,-118.411,132.09,87
47.2127,-273.162,389.231,130
222.088,46.7872,-215.331,97
181.965,38.5709,274.576,119
322.151,224.82,167.956,114
-460.815,205.373,-17.8948,89
-80.0122,-519.317,-327.831,48
234.424,506.181,34.4678,160
-452.383,-149.572,-172.729,84
425.523,167.888,-284.054,73
-187.835,56.5924,573.877,46
372.705,-28.0309,392.284,120
380.18,-261.182,-336.451,65
309.945,530.115,-53.936,216
-156.856,-467.454,-167.66,106
28.0391,-94.0429,-254.693,121
-11.1189,-331.982,-12.3201,117
-181.751,128.551,-63.6057,119
-453.614,262.939,193.44,65
124.057,-314.585,26.8241,118
62.7287,-256.007,-80.8893,105
-569.474,-33.7844,-99.6097,95
-296.442,128.462,311.821,94
49.6759,-481.478,-19.8873,85
-585.529,34.8691,174.856,62
-441.003,179.816,393.159,70
250.342,247.063,-177.688,105
-98.9111,-443.582,247.124,79
87.8577,-8.94593,606.929,54
365.54,170.644,-203.946,126
-231.766,336.885,448.43,84
437.406,151.748,-70.8868,97
512.663,-52.9757,-277.608,133
-7.38992,-13.923,124.178,87
-150.925,187.352,390.934,103
-178.678,-56.9272,-124.455,96
35.7497,-463.819,-150.557,95
133.817,241.081,-69.1788,111
346.084,-483.419,-73.6161,176
-45.8538,-122.022,-169.511,108
219.47,-158.169,441.118,65
344.508,57.673,-432.673,112
34.6154,-143.249,-475.816,99
223.574,208.474,368.704,73
480.066,-152.188,-336.36,98
309.841,31.1417,-63.9117,85
343.757,53.6543,64.9965,134
120.056,-306.675,-79.4865,115
203.742,-478.488,-180.931,79
143.206,331.275,44.8838,124
488.678,-136.749,78.5608,68
-246.473,-72.3327,-114.923,112
187.634,229.858,-5.08887,110
504.928,116.589,262.53,108
182.255,286.787,-77.1222,97
-385.772,241.59,-62.37,81
-154.942,-156.222,-289.38,108
185.147,-37.4256,587.472,46
-256.88,97.8467,5.67631,105
325.276,67.7567,191.743,88
42.6433,355.83,5.35541,116
-60.6697,-237.625,245.523,107
-277.733,-121.671,283.51,97
-181.204,515.293,277.792,51
22.9187,-0.27703,-16.0494,92
-264.434,-9.54814,-329.206,101
-148.698,327.57,-53.1486,107
120.104,-208.043,-342.027,101
2.62865,-271.645,-418.994,135
-146.265,-342.464,-53.676,122
150.576,558.099,12.1673,123
-405.409,-39.2317,-334.737,98
47.1394,-294.468,-159.884,110
-307.805,-132.923,215.884,93
-349.416,73.186,-338.296,83
-110.956,308.803,166.658,87
495.941,-93.8137,-184.176,80
-153.841,-250.209,416.406,124
-441.022,165.357,-107.258,97
430.998,106.245,61.5311,77
-122.651,185.028,171.161,130
-258.081,-230.283,-198.589,108
162.468,341.428,60.3977,113
-461.61,286.289,48.9682,104
-2.14687,-151.194,266.651,128
310.535,-281.646,134.113,87
96.4902,369.487,-95.9478,110
11.7653,-580.629,41.0939,63
203.221,307.572,-457.613,75
-299.723,-354.625,198.079,69
-220.521,57.043,402.545,100
-159.577,62.9749,-580.468,39
-159.835,87.6189,347.94,106
100.67,380.911,23.6183,101
-381.697,187.331,6.56284,106
-105.345,57.6002,545.118,89
-100.998,-267.816,113.532,108
397.571,72.6486,440.585,99
87.7301,30.6427,301.795,125
186.003,308.604,490.491,109
-360.953,209.978,109.213,91
217.128,-44.6391,-456.797,91
-252.807,-82.8964,-328.156,92
-200.13,60.0417,-235.182,121
328.334,-280.222,-13.7333,96
-338.049,189.629,-324.531,77
-342.999,80.2923,477.478,49
254.123,459.986,-96.9379,93
-203.899,-154.741,-547.409,87
102.111,238.653,-190.538,146
144.454,-154.209,171.733,90
133.284,-330.294,45.0542,125
265.443,-426.031,122.118,123
12.3335,-69.5125,514.521,104
244.768,385.739,-356.16,46
-270.938,-473.53,114.327,106
-63.4593,-254.152,444.703,144
-281.005,-365.328,319.178,77
31.5858,572.553,-224.051,38
-85.6903,241.508,123.259,91
-13.8527,-511.275,45.3377,74
-401.3,340.391,-235.83,72
-19.9223,-345.025,-198.729,108
-550.901,65.1639,-224.628,135
130.069,422.78,-373.11,70
-326.483,-268.761,-165.15,94
-228.357,-42.0364,271.049,91
153.152,-458.874,-225.676,80
-440.923,76.0164,-312.796,119
339.496,400.801,-114.478,113
-141.23,-30.0482,12.796,83
346.296,251.858,125.647,79
-201.394,125.786,135.365,102
-436.367,-35.5941,-11.7274,89
249.364,-147.281,-376.473,73
-401.824,17.0468,-33.4893,119
86.2469,-147.004,-287.02,91
274.207,-222.546,397.971,81
-176.707,-319.427,-45.6302,103
-153.953,151.022,289.448,82
321.163,396.243,175.797,100
-64.097,200.932,-330.948,128
-52.4949,593.698,-133.791,47
160.932,117.101,-559.375,79
-27.7765,421.135,-330.255,69
107.817,-438.334,-153.754,79
10.9146,529.905,92.1091,90
295.528,-193.946,-366.878,95
470.472,-282.467,-57.5678,83
-114.835,119.239,240.436,85
154.572,-175.054,91.8322,110
213.315,-325.466,-382.737,90
137.27,-242.632,-449.317,120
40.7313,118.891,247.069,115
140.139,286.041,-469.249,134
-94.737,239.626,-491.945,123
-22.6799,50.6181,-544.846,74
310.843,-432.028,-154.044,134
299.365,193.089,-239.238,83
-189.894,-275.793,-167.884,122
-577.201,32.6644,-2.34865,99
358.154,467.12,-60.7547,163
146.058,125.156,65.3831,99
127.776,395.83,112.172,94
77.5065,195.16,7.32029,98
417.184,380.744,-9.77723,115
-188.375,-416.254,218.072,85
322.377,19.2233,-251.063,105
142.872,1.86723,466.591,95
-175.742,-308.708,216.743,73
437.54,33.802,225.368,131
-37.4047,-88.1112,517.539,77
188.857,-269.802,-432.342,109
-228.044,-6.75191,-77.4234,128
220.711,424.541,300.77,84
-7.51346,-160.858,-55.6102,115
-101.102,64.8464,12.5897,98
49.0469,112.484,-540.067,81
-197.266,458.974,157.008,116
205.783,313.299,-66.926,103
-142.283,66.0057,-297.602,136
76.5333,54.8646,433.324,86
338.726,203.195,-141.14,102
26.6191,599.146,-49.9912,82
-74.7345,-182.056,508.085,117
-510.655,-212.964,-32.625,57
-54.6837,-234.462,-100.108,101
-532.29,134.755,81.7599,100
317.879,-2.41,143.41,134
-0.709469,588.725,-120.177,52
150.913,203.196,353.304,111
-385.182,-161.093,56.907,127
375.746,-475.039,41.6302,175
299.28,-90.4509,38.8152,116
246.489,-73.9949,253.898,102
-136.849,132.113,362.157,91
418.111,91.0316,-33.2102,95
9.01819,170.313,-77.0586,109
-202.331,-57.5172,25.5496,101
-248.49,-365.804,112.556,110
141.777,15.866,-243.451,114
267.234,212.368,332.481,99
233.704,-182.927,-81.4463,99
218.843,349.18,-430.731,83
185.69,-326.442,-215.758,111
-123.81,-41.1649,-584.341,85
-127.648,126.553,-505.377,82
76.0758,-241.425,296.306,119
190.677,-304.558,104.189,93
389.761,-131.917,-87.0476,108
317.073,131.754,-474.786,12
-49.367,266.535,-65.8895,70
70.0442,-105.693,159.318,113
-141.081,451.038,-172.493,91
74.4983,611.394,17.355,30
59.9671,380.61,360.959,124
247.946,234.624,255.782,112
425.675,-153.939,-275.514,95
84.5182,105.297,-392.345,87
-533.338,121.651,-131.232,79
-213.198,-376.458,-304.457,102
-374.284,-26.9925,23.3188,127
223.13,218.468,-335.381,112
-352.574,-78.9317,-288.261,105
231.3,-312.776,-226.21,80
145.13,339.514,-55.0331,107
-9.56343,-30.2986,-114.481,107
-326.175,-409.178,1.45482,124
32.7574,-158.205,-466.995,97
-563.313,28.3058,-223.986,129
197.714,-253.036,-456.009,102
-132.569,-168.164,-465.651,79
44.5205,-214.352,549.488,156
88.1184,-132.395,-362.945,125
-505.748,101.073,169.715,94
-402.219,175.308,-314.295,83
114.142,487.695,-55.0234,91
-302.373,-164.708,-126.669,113
309.276,202.429,-69.6292,97
279.453,-408.404,-11.0348,146
-46.981,138.63,577.809,78
316.064,94.8498,360.547,113
124.721,-255.659,-521.078,93
-31.6522,-122.742,-517.431,88
-429.558,-28.7599,-62.9175,105
285.733,211.727,421.597,84
346.532,6.59974,-366.086,111
32.6392,191.364,-274.702,113
20.9329,447.962,79.6007,105
419.655,7.57756,-217.345,124
142.954,131.538,222.307,90
138.606,372.638,170.85,89
235.387,-320.536,-235.672,115
285.501,-382.398,347.242,64
-121.235,250.373,-504.79,129
-201.78,-233.101,59.8307,96
-428.165,359.016,207.979,72
232.078,-258.249,195.196,100
168.565,483.116,292.504,77
143.288,517.388,-76.1073,89
-263.199,-214.627,90.7147,84
163.108,214.704,-197.949,94
75.6089,422.652,-11.5401,117
-249.669,-121.423,104.668,96
-47.6015,-302.01,307.409,98
101.903,-281.471,-533.916,167
-166.038,-52.8794,527.803,58
145.635,-462.117,-287.551,42
116.281,365.675,-292.207,104
-128.878,183.207,568.784,63
477.044,-288.947,140.029,96
-567.645,-91.167,79.9314,93
225.387,187.017,118.922,94
109.135,230.732,-561.734,92
-501.681,130.245,-50.2546,73
-481.859,-135.369,277.225,103
146.92,358.172,-101.212,112
434.786,-118.959,189.052,112
-177.643,-123.106,-80.8823,115
127.34,-467.839,139.777,92
-179.461,-17.6912,399.184,110
61.6728,-550.533,-15.8175,98
89.4976,295.107,115.958,104
398.937,-198.588,23.6819,78
368.951,91.6763,255.808,116
-146.326,79.3145,-417.306,106
175.962,444.638,-1.94583,110
327.731,403.077,-123.883,112
24.6456,246.514,82.578,114
-294.971,361.178,-66.3267,110
11.274,355.525,57.0113,95
561.594,4.36276,188.601,105
455.677,-344.006,-193.998,55
-275.518,-337.718,-380.096,52
228.234,-360.508,68.5131,101
-174.134,-224.527,-504.295,34
-423.024,27.1167,-276.649,120
491.745,-279.923,-234.651,42
-137.507,130.117,-498.423,93
-141.382,-130.828,-569.347,66
169.287,-370.06,-447.731,58
173.289,241.242,353.425,99
-73.5913,-279.121,-47.5534,127
-374.963,-153.338,-126.276,93
89.5593,-94.427,433.97,96
-49.8477,27.3146,344.694,102
-495.059,60.9096,-181.42,92
177.132,168.816,211.466,111
173.217,-218.98,125.08,108
58.2186,-316.986,-280.961,114
9.23478,-261.467,-212.639,88
-438.073,-228.03,232.305,85
490.834,-267.965,-147.922,85
-106.643,479.304,72.0808,92
-150.88,-533.498,-47.1172,122
-60.3954,-289.976,-100.6,82
-419.492,229.826,-77.9343,86
67.0636,-595.167,65.5497,84
-68.0713,457.905,380.664,62
51.6567,1.40273,-308.194,92
35.2294,-158.72,-138.601,122
-304.853,-422.242,-223.138,55
356.152,227.959,260.71,93
-70.5946,-130.739,-408.441,112
278.854,258.721,109.942,80
326.995,-492.659,-67.0243,180
22.0308,320.485,-197.795,113
-255.266,-346.445,119.454,110
525.185,-121.919,105.177,86
108.671,-592.468,-1.47218,77
25.2778,-557.832,31.7663,87
-252.883,77.3186,412.158,118
-99.9705,-394.374,-204.444,80
102.125,397.742,340.559,62
-313.491,-265.601,-317.587,90
-334.278,-145.627,299.399,108
453.452,221.488,328.153,71
222.561,193.969,-439.202,78
52.4854,-464.203,344.313,76
143.686,280.102,123.342,100
244.019,-107.466,-436.835,73
-203.08,282.273,188.628,87
-140.413,-398.668,-249.652,65
-73.4716,223.271,140.743,110
367.052,-63.2005,132.643,95
125.716,115.766,159.018,89
